Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
10.156033515930176	0	23.34090909090909	11.23295310847464	60.0	10.0	23.34090909090909	11.23295310847464	1027	1027
11.005842924118042	1	25.871794871794872	16.492701551618005	94.0	9.0	25.871794871794872	16.492701551618005	1009	2036
11.517653226852417	2	27.27027027027027	20.22261063779934	114.0	10.0	27.27027027027027	20.22261063779934	1009	3045
12.022048950195312	3	23.72093023255814	9.720095657954385	54.0	10.0	23.72093023255814	9.720095657954385	1020	4065
12.445295810699463	4	29.34285714285714	16.476724461481773	74.0	9.0	29.34285714285714	16.476724461481773	1027	5092
12.879647731781006	5	28.64864864864865	16.0509597527581	70.0	10.0	28.64864864864865	16.0509597527581	1060	6152
13.324514150619507	6	29.17142857142857	14.604276700993573	64.0	10.0	29.17142857142857	14.604276700993573	1021	7173
13.712714672088623	7	32.516129032258064	18.192290050284303	77.0	11.0	32.516129032258064	18.192290050284303	1008	8181
14.130463123321533	8	33.86666666666667	15.353030826372867	73.0	15.0	33.86666666666667	15.353030826372867	1016	9197
14.547399044036865	9	41.08	23.71652588386419	105.0	12.0	41.08	23.71652588386419	1027	10224
14.971434831619263	10	41.8	16.984698996449715	88.0	12.0	41.8	16.984698996449715	1045	11269
15.382655382156372	11	49.76190476190476	27.027155236565424	110.0	12.0	49.76190476190476	27.027155236565424	1045	12314
15.773172378540039	12	46.22727272727273	17.320329143895986	83.0	13.0	46.22727272727273	17.320329143895986	1017	13331
16.171392917633057	13	50.85	20.599211149944555	106.0	24.0	50.85	20.599211149944555	1017	14348
16.57976984977722	14	41.6	16.252999723128035	92.0	22.0	41.6	16.252999723128035	1040	15388
17.04398012161255	15	64.23529411764706	28.926945329397736	132.0	26.0	64.23529411764706	28.926945329397736	1092	16480
17.441476345062256	16	67.13333333333334	34.8594638831727	148.0	16.0	67.13333333333334	34.8594638831727	1007	17487
17.834611654281616	17	48.904761904761905	18.474963140384034	84.0	16.0	48.904761904761905	18.474963140384034	1027	18514
18.259759187698364	18	74.64285714285714	35.340400076272765	151.0	25.0	74.64285714285714	35.340400076272765	1045	19559
18.711906671524048	19	49.04761904761905	23.236826663266324	107.0	17.0	49.04761904761905	23.236826663266324	1030	20589
19.11255645751953	20	56.333333333333336	23.185244349705606	103.0	20.0	56.333333333333336	23.185244349705606	1014	21603
19.524940013885498	21	51.5	23.262630977600104	106.0	16.0	51.5	23.262630977600104	1030	22633
19.920875787734985	22	64.625	41.40633254708753	200.0	26.0	64.625	41.40633254708753	1034	23667
20.31820011138916	23	72.26666666666667	35.40709282364512	150.0	21.0	72.26666666666667	35.40709282364512	1084	24751
20.693394422531128	24	73.35714285714286	41.14887108824171	200.0	38.0	73.35714285714286	41.14887108824171	1027	25778
21.115160942077637	25	76.42857142857143	41.103900207217535	169.0	28.0	76.42857142857143	41.103900207217535	1070	26848
21.62661051750183	26	71.625	41.75654888756972	183.0	23.0	71.625	41.75654888756972	1146	27994
22.02582550048828	27	116.22222222222223	48.363847328299485	200.0	43.0	116.22222222222223	48.363847328299485	1046	29040
22.491148471832275	28	107.36363636363636	54.15176103452681	200.0	42.0	107.36363636363636	54.15176103452681	1181	30221
22.916570901870728	29	98.72727272727273	65.15727951948396	200.0	22.0	98.72727272727273	65.15727951948396	1086	31307
23.360600233078003	30	69.4375	36.21113217989738	132.0	23.0	69.4375	36.21113217989738	1111	32418
23.83103346824646	31	123.11111111111111	47.85497639151125	200.0	56.0	123.11111111111111	47.85497639151125	1108	33526
24.243146657943726	32	146.14285714285714	56.02914693373842	200.0	56.0	146.14285714285714	56.02914693373842	1023	34549
24.697309732437134	33	122.66666666666667	36.52396473549935	166.0	51.0	122.66666666666667	36.52396473549935	1104	35653
25.201024293899536	34	159.14285714285714	37.01130549837276	200.0	110.0	159.14285714285714	37.01130549837276	1114	36767
25.610488891601562	35	115.88888888888889	24.14053504168384	149.0	64.0	115.88888888888889	24.14053504168384	1043	37810
26.038940906524658	36	131.75	68.45208177988454	200.0	23.0	131.75	68.45208177988454	1054	38864
26.484936714172363	37	158.28571428571428	52.88454887964992	200.0	41.0	158.28571428571428	52.88454887964992	1108	39972
26.899812936782837	38	150.57142857142858	61.12249327108204	200.0	23.0	150.57142857142858	61.12249327108204	1054	41026
27.390871047973633	39	128.88888888888889	57.7858968654395	200.0	31.0	128.88888888888889	57.7858968654395	1160	42186
27.81074023246765	40	151.0	48.966460824877736	200.0	58.0	151.0	48.966460824877736	1057	43243
28.283899784088135	41	151.42857142857142	44.75283596075909	200.0	86.0	151.42857142857142	44.75283596075909	1060	44303
28.736685037612915	42	132.25	45.58439974377199	200.0	70.0	132.25	45.58439974377199	1058	45361
29.262275218963623	43	144.375	61.057222136287855	200.0	30.0	144.375	61.057222136287855	1155	46516
29.69581627845764	44	128.75	41.0236212443514	200.0	78.0	128.75	41.0236212443514	1030	47546
30.19486951828003	45	169.57142857142858	59.444709347323375	200.0	26.0	169.57142857142858	59.444709347323375	1187	48733
30.66540026664734	46	190.5	21.242645786248	200.0	143.0	190.5	21.242645786248	1143	49876
31.004292726516724	47	152.57142857142858	33.919472464130365	200.0	103.0	152.57142857142858	33.919472464130365	1068	50944
31.36103343963623	48	154.57142857142858	35.18464414589793	200.0	113.0	154.57142857142858	35.18464414589793	1082	52026
31.873389720916748	49	143.5	58.57473858242988	200.0	29.0	143.5	58.57473858242988	1148	53174
32.196242809295654	50	172.5	27.789386463180506	200.0	137.0	172.5	27.789386463180506	1035	54209
