Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.3716123104095459	0	-1463.1956238992288	62.47843098268665	-1407.6953787702546	-1563.9875999932449	200.0	0.0	1000	1000
0.6639590263366699	1	-1460.7911872218547	127.44716427844472	-1292.9015690256276	-1661.4912361394458	200.0	0.0	1000	2000
0.930450439453125	2	-1448.65424074666	132.34394433173904	-1287.4968364613724	-1646.4009700412707	200.0	0.0	1000	3000
1.1983153820037842	3	-1336.858953854955	292.2072281066866	-856.3433052460618	-1670.1503249544003	200.0	0.0	1000	4000
1.4425485134124756	4	-1406.4829740893595	217.05033628385334	-1144.4266467463342	-1696.6678127756477	200.0	0.0	1000	5000
1.6879472732543945	5	-1362.9492448702583	222.88667201194303	-972.5069585635583	-1558.5748111026505	200.0	0.0	1000	6000
1.9581513404846191	6	-1398.8376000274989	172.93923598934808	-1084.4593928003274	-1596.3202678241128	200.0	0.0	1000	7000
2.222727060317993	7	-1375.961054702874	229.43885618466837	-1096.6812416521736	-1644.371638157084	200.0	0.0	1000	8000
2.4972963333129883	8	-1319.8678139797269	165.7491046872077	-1066.9251513488666	-1500.742090112437	200.0	0.0	1000	9000
2.7686710357666016	9	-1077.9124530756078	178.63105533602476	-745.896386362996	-1275.551015920586	200.0	0.0	1000	10000
3.0165131092071533	10	-1384.8064960310842	215.6007577036913	-1102.6578393357597	-1689.3655059613434	200.0	0.0	1000	11000
3.2923731803894043	11	-1377.568333454538	193.68232603870177	-1084.3637329200888	-1577.7879798389877	200.0	0.0	1000	12000
3.5362935066223145	12	-1432.5395976392533	198.9493421605656	-1215.138258086516	-1760.0803286156888	200.0	0.0	1000	13000
3.786492347717285	13	-1294.734711403722	207.49115616315154	-1068.520105123701	-1634.112617198617	200.0	0.0	1000	14000
4.058933734893799	14	-1383.7731211071007	263.9058332244549	-978.7521106250407	-1762.8041412089444	200.0	0.0	1000	15000
4.313024997711182	15	-1551.5510146994523	165.6105225512041	-1349.3993915979063	-1762.5150757268975	200.0	0.0	1000	16000
4.574103116989136	16	-1416.236616085857	128.03113694674286	-1246.5870486251015	-1561.5051549485702	200.0	0.0	1000	17000
4.840294122695923	17	-1552.872803085508	142.10696301201045	-1279.2234831870678	-1673.1824206321464	200.0	0.0	1000	18000
5.08909010887146	18	-1503.5128358340778	165.8095781560035	-1295.2136144961364	-1792.9823402355237	200.0	0.0	1000	19000
5.364540100097656	19	-1407.4859589903367	120.47708229556457	-1198.340001425723	-1527.4261783664256	200.0	0.0	1000	20000
5.635507106781006	20	-1311.772522061529	88.52668734505528	-1193.0365853811122	-1428.0056198079342	200.0	0.0	1000	21000
5.89263653755188	21	-1351.0313586195014	97.95101533750984	-1201.3221746839895	-1466.917672843208	200.0	0.0	1000	22000
6.141644477844238	22	-1480.3901910826946	244.21143072654294	-1119.1426969549893	-1753.0597305388387	200.0	0.0	1000	23000
6.385471343994141	23	-1467.541469459616	173.5513092157777	-1305.6131025570116	-1729.0001917984998	200.0	0.0	1000	24000
6.630298137664795	24	-1497.5272806778487	248.16652322868575	-1190.5993815460397	-1781.125662074375	200.0	0.0	1000	25000
6.8720316886901855	25	-1358.1757714420185	79.60084995912746	-1200.3785167671863	-1410.9004839053932	200.0	0.0	1000	26000
7.120794773101807	26	-1420.86208339632	163.86316926878405	-1238.2180714762628	-1706.5363733927763	200.0	0.0	1000	27000
7.365285158157349	27	-1278.504316414234	88.39817223777554	-1123.67290454377	-1384.752585702695	200.0	0.0	1000	28000
7.644993305206299	28	-1392.5021957950044	145.55768464035955	-1197.2772023036782	-1648.6917834742649	200.0	0.0	1000	29000
7.88621187210083	29	-1423.2690810099957	194.43578273132783	-1218.2264654105802	-1752.2190624644577	200.0	0.0	1000	30000
8.144294738769531	30	-1353.7183007613098	94.36285638154376	-1256.5578366575962	-1508.70025035038	200.0	0.0	1000	31000
8.384400129318237	31	-1514.5619723839554	211.16588245943996	-1147.2985858258025	-1728.4359863668872	200.0	0.0	1000	32000
8.626489400863647	32	-1485.9124644577155	162.54034316538213	-1199.2539718250034	-1687.7203520069424	200.0	0.0	1000	33000
8.883249282836914	33	-1426.2548614739683	290.71901917297924	-974.1642002508636	-1787.1276088478937	200.0	0.0	1000	34000
9.169967889785767	34	-1437.8655529665816	113.87540127185903	-1295.7843135572052	-1571.3266206889007	200.0	0.0	1000	35000
9.41262173652649	35	-1541.6612918574258	150.48000533682847	-1302.9314362486978	-1767.8739381338232	200.0	0.0	1000	36000
9.664001941680908	36	-1387.9871006785052	141.29145322248667	-1159.518217378799	-1536.4576791067534	200.0	0.0	1000	37000
9.943917751312256	37	-1532.7253982425311	69.35987217101041	-1437.1464350474616	-1639.869886425386	200.0	0.0	1000	38000
10.193939924240112	38	-1416.3065961145396	142.1959190209167	-1203.7752988788616	-1621.4403946140935	200.0	0.0	1000	39000
10.448374509811401	39	-1444.7498982135571	94.11211941201881	-1324.3608730919457	-1605.8759793651825	200.0	0.0	1000	40000
10.729811429977417	40	-1401.4477750562369	185.5052778665727	-1167.0861261423227	-1732.7966373027652	200.0	0.0	1000	41000
10.978824853897095	41	-1471.3382468985444	144.55302099312217	-1253.7137701468532	-1658.0565389230574	200.0	0.0	1000	42000
11.275439739227295	42	-1510.203359609197	135.19649537082603	-1354.4383881152917	-1736.799130376347	200.0	0.0	1000	43000
11.53723955154419	43	-1520.8443116587266	109.94189852842695	-1392.565666257633	-1665.1524271171504	200.0	0.0	1000	44000
